address,rent,beds,baths,sq ft,url
"615 S Wright, Champaign, IL 61820",-,4 beds,3 baths,"1,051 sqft.",https://www.smilestudentliving.com/listings/detail/6807ca06-d317-49b4-a2ab-253126665538
"608 E Chalmers St, Champaign, IL 61820","$1,060",4 beds,4 baths,"1,317 sqft.",https://www.smilestudentliving.com/listings/detail/7698c9a7-0c35-4c63-856a-db8896e48175
"615 S Wright, Champaign, IL 61820","$1,059",2 beds,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/4a082673-1670-4091-8aff-3b1a871539ce
"606 E Stoughton, Champaign, IL 61820",$809,4 beds,2 baths,316 sqft.,https://www.smilestudentliving.com/listings/detail/51abe5dc-1227-42a8-8387-f6c30931f26c
"405 E Stoughton, Champaign, IL 61820","$1,529",1 bed,1 bath,575 sqft.,https://www.smilestudentliving.com/listings/detail/82573308-b45a-472d-985f-c6c7d91bf79b
"805 W Green Street, 303 S Busey Avenue, Urbana, IL 61801","$1,039",1 bed,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/f67e11f6-b435-4250-8f83-b0d88694a534
"104 N Lincoln Ave, Urbana, IL 61801",$469,4 beds,2 baths,867 sqft.,https://www.smilestudentliving.com/listings/detail/4d8effee-63a0-4d2a-a8c0-7c4e1c62c11f
"404 E Clark St, Champaign, IL 61820","$1,379",1 bed,1 bath,511 sqft.,https://www.smilestudentliving.com/listings/detail/2a41ff04-8703-423a-9dcd-6c8dcc67a688
"107 E Springfield Avenue, Champaign, IL 61820",$689,2 beds,1 bath,580 sqft.,https://www.smilestudentliving.com/listings/detail/c453095e-4cf6-41ca-b84a-cf6654734035
"107 E Springfield Avenue, Champaign, IL 61820",$839,2 beds,2 baths,780 sqft.,https://www.smilestudentliving.com/listings/detail/6e60de37-fba3-4abb-8f93-71b8e3c4b274
"106 E Healey Street, Champaign, IL 61820",$679,2 beds,1 bath,690 sqft.,https://www.smilestudentliving.com/listings/detail/6aeec459-9fb4-42c9-80fc-15952a689550
"107 E Healey Street, Champaign, IL 61820","$1,399",1 bed,1 bath,511 sqft.,https://www.smilestudentliving.com/listings/detail/b81694b6-355d-40fc-a166-91de3d994540
"408 E Healey St, Champaign, IL 61820",$809,2 beds,1 bath,660 sqft.,https://www.smilestudentliving.com/listings/detail/99b82671-7a69-4991-81f1-00d4802e4fbe
"507 E White, Champaign, IL 61820","$1,300",1 bed,1 bath,476 sqft.,https://www.smilestudentliving.com/listings/detail/15937bce-0a92-448c-924f-3aa3312c7f50
"512 E Clark, Champaign, IL 61820","$1,049",1 bed,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/4fff0614-ecab-42f5-9cce-c403972fd2f3
"52 E Armory, Champaign, IL 61820",$839,2 beds,2 baths,670 sqft.,https://www.smilestudentliving.com/listings/detail/8a461701-a4b4-4cd9-99e4-83c97cf8fcb2
"805 W Green Street, 303 S Busey Avenue, Urbana, IL 61801","$1,109",1 bed,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/37046c57-7a7c-4dbc-a63e-1d56ce084d19
"106 S Gregory Street, Urbana, IL 61801",$629,4 beds,2 baths,930 sqft.,https://www.smilestudentliving.com/listings/detail/3db8f156-3a95-49e8-8229-4f4b3624cdd9
"804 W Illinois Street, Urbana, IL 61801",$909,2 beds,2 baths,696 sqft.,https://www.smilestudentliving.com/listings/detail/eefae600-ec50-4771-9e0f-1e47e5ecd925
"405 E Stoughton, Champaign, IL 61820","$1,079",2 beds,2 baths,890 sqft.,https://www.smilestudentliving.com/listings/detail/2afa07a2-f141-4123-8df8-9784a3e7a677
"405 E Stoughton, Champaign, IL 61820",$970,3 beds,3 baths,N/A,https://www.smilestudentliving.com/listings/detail/0b41fdb2-74b6-4118-b5f1-4a86dbc9b9ab
"615 S Wright, Champaign, IL 61820",$955,3 beds,2 baths,300 sqft.,https://www.smilestudentliving.com/listings/detail/1be27feb-5746-4a03-8f6f-8e8a3146ad00
"510 E. White Street, Champaign, IL 61820","$1,620",1 bed,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/47bf456f-efca-4802-8858-6740160bbd99
"48 E John, Champaign, IL 61820",$729,3 beds,3 baths,330 sqft.,https://www.smilestudentliving.com/listings/detail/7d51ebf6-bd6b-4bca-afba-dd59a32dbd24
"52 E Armory, Champaign, IL 61820","$1,229",1 bed,1 bath,457 sqft.,https://www.smilestudentliving.com/listings/detail/cc3aae34-7ff9-4b6d-aee5-4853213087b3
"207 S Fifth, Champaign, IL 61820",$639,4 beds,2 baths,957 sqft.,https://www.smilestudentliving.com/listings/detail/df5bf94e-8ce5-418d-839d-3623501d7151
"1010 W Stoughton, Urbana, IL 61801",$739,2 beds,1 bath,672 sqft.,https://www.smilestudentliving.com/listings/detail/25786ba9-6002-4aaf-9f06-3cf04a36f039
"503 E Stoughton Street, Champaign, IL 61820","$1,620",1 bed,1 bath,585 sqft.,https://www.smilestudentliving.com/listings/detail/0ba6fa82-03a9-4006-b4e3-465093e97c5a
"503 E Stoughton Street, Champaign, IL 61820","$1,430",Studio,1 bath,461 sqft.,https://www.smilestudentliving.com/listings/detail/59aa32ae-d6ec-43fb-88cf-d5dca57b6628
"510 E. White Street, Champaign, IL 61820","$1,430",Studio,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/b3ed827e-8142-4d32-a5f6-43515386b5f6
"510 E. White Street, Champaign, IL 61820","$1,620",1 bed,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/6070ac24-1abb-4d52-8207-20415948f6f9
"1009 W Stoughton, Urbana, IL 61801","$1,370",Studio,1 bath,470 sqft.,https://www.smilestudentliving.com/listings/detail/36c06780-3d16-4e1d-b646-d323f4d9d692
"1009 W Stoughton, Urbana, IL 61801","$1,600",1 bed,1 bath,N/A,https://www.smilestudentliving.com/listings/detail/b0b34010-8d9d-46ee-83ae-3d6091e5d8de
"606 E Stoughton, Champaign, IL 61820",$809,4 beds,2 baths,"1,225 sqft.",https://www.smilestudentliving.com/listings/detail/8a932f72-6406-4755-9067-c37b85144e09
"504 E Clark, Champaign, IL 61820","$1,009",Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/7d5d3b75-a01d-46da-b63b-48aeddeb93c6
"507 E Clark, Champaign, IL 61820",$979,Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/474e3ad6-ae5d-4b71-8aa4-a528a0c6534b
"507 E Clark, Champaign, IL 61820","$1,049",1 bed,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/0c6b156d-9167-48fd-9f71-b840b77fe88f
"1010 W Stoughton, Urbana, IL 61801",$739,2 beds,1 bath,672 sqft.,https://www.smilestudentliving.com/listings/detail/d64e3ef9-185f-4f1d-abcf-11c3f7aa1255
"405 E Stoughton, Champaign, IL 61820","$1,529",1 bed,1 bath,575 sqft.,https://www.smilestudentliving.com/listings/detail/02311c81-8423-484e-b0bc-f8b9f856d348
"405 E Stoughton, Champaign, IL 61820","$1,079",2 beds,2 baths,890 sqft.,https://www.smilestudentliving.com/listings/detail/df972074-9557-4f36-8d3e-291797fcf184
"507 E White, Champaign, IL 61820","$1,200",1 bed,1 bath,476 sqft.,https://www.smilestudentliving.com/listings/detail/a1a9a5ed-beaa-48f8-b72c-ab5742e416fe
"512 E Clark, Champaign, IL 61820","$1,049",1 bed,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/b30e96f8-1c08-452a-97aa-9c8034e86114
"104 N Lincoln Ave, Urbana, IL 61801",$419,3 beds,1 bath,700 sqft.,https://www.smilestudentliving.com/listings/detail/d4964cbf-d362-4596-a415-d73f662e6ccb
"104 N Lincoln Ave, Urbana, IL 61801",$439,4 beds,2 baths,867 sqft.,https://www.smilestudentliving.com/listings/detail/e4830e52-c869-460c-ba4f-746ddc21a0a2
"105 S Wright, Champaign, IL 61820","$1,249",1 bed,1 bath,451 sqft.,https://www.smilestudentliving.com/listings/detail/1be7da8d-db62-4256-97a8-e9dcc66a3b92
"105 S Wright, Champaign, IL 61820",$889,2 beds,2 baths,823 sqft.,https://www.smilestudentliving.com/listings/detail/5ff11cbd-3c98-45fe-96f0-1c277988c063
"106 S Gregory Street, Urbana, IL 61801",$629,4 beds,2 baths,930 sqft.,https://www.smilestudentliving.com/listings/detail/be9874f2-eaa5-465f-ae74-2b86dcd9801b
"207 S Fifth, Champaign, IL 61820",$639,4 beds,2 baths,966 sqft.,https://www.smilestudentliving.com/listings/detail/7f6b6fa7-82ab-4b20-961c-50800a327947
"405 E Stoughton, Champaign, IL 61820",$970,3 beds,3 baths,"1,170 sqft.",https://www.smilestudentliving.com/listings/detail/6fb4c3c5-f33e-4882-9529-ab5003dcf2c8
"405 E Stoughton, Champaign, IL 61820","$1,319",Studio,1 bath,447 sqft.,https://www.smilestudentliving.com/listings/detail/64cdf4b4-cdc7-4563-8858-776eb87808ad
"506 W Elm, Urbana, IL 61801",$370,3 beds,1 bath,819 sqft.,https://www.smilestudentliving.com/listings/detail/293c919d-34ee-4b7f-858a-fab59cf35b38
"512 E Clark, Champaign, IL 61820",$979,Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/a26f4b29-c4d9-45be-9817-d42255bfdb4d
"804 W Illinois Street, Urbana, IL 61801",$909,2 beds,2 baths,696 sqft.,https://www.smilestudentliving.com/listings/detail/f3f6d9d4-1d1e-46e0-8bd9-e8f21926b2be
"805 W Green Street, 303 S Busey Avenue, Urbana, IL 61801","$1,039",1 bed,1 bath,344 sqft.,https://www.smilestudentliving.com/listings/detail/83ae41b5-e97b-4020-bb53-8085c0894b47
"809 W Springfield, Urbana, IL 61801",$379,4 beds,1.5 baths,940 sqft.,https://www.smilestudentliving.com/listings/detail/496ff9e2-c664-4d81-ab5a-56b6fe24b168
"809 W Springfield, Urbana, IL 61801",$399,4 beds,2 baths,940 sqft.,https://www.smilestudentliving.com/listings/detail/360db0e4-3cd7-48fc-8385-61587b929f51
"809 W Stoughton, Urbana, IL 61801",$649,2 beds,1 bath,678 sqft.,https://www.smilestudentliving.com/listings/detail/d24b7110-6b95-48a5-8cb1-ad33b8e987e8
"809 W Stoughton, Urbana, IL 61801",$449,4 beds,1.5 baths,941 sqft.,https://www.smilestudentliving.com/listings/detail/c0d30970-883d-4438-9370-b2f2218ea454
"809 W Stoughton, Urbana, IL 61801",$489,4 beds,2 baths,960 sqft.,https://www.smilestudentliving.com/listings/detail/899646af-4239-4a82-ac7b-082ad48147c5
"510 E Clark St, Champaign, IL 61820","$1,049",Studio,1 bath,380 sqft.,https://www.smilestudentliving.com/listings/detail/f83438f5-989c-4eb1-bd64-322ea55ec1c4
"404 E Clark St, Champaign, IL 61820","$1,349",1 bed,1 bath,467 sqft.,https://www.smilestudentliving.com/listings/detail/0cebe9bc-9c0a-4540-8a3e-a478ae05e09e
"608 E Chalmers St, Champaign, IL 61820","$1,090",4 beds,4 baths,"1,317 sqft.",https://www.smilestudentliving.com/listings/detail/5165b1d4-93f2-4139-a596-70d952585079
